full_equity,full_drawdown,fng_equity,fng_drawdown
1.24990720,-0.03312427,1.24579187,-0.01295460
1.26019787,-0.02516383,1.23553508,-0.02108109
1.25972814,-0.02552720,1.23383901,-0.02242490
1.26059131,-0.02485948,1.23468444,-0.02175506
1.25865341,-0.02635856,1.23278637,-0.02325891
1.26567578,-0.02092635,1.22467554,-0.02968515
1.26513393,-0.02134550,1.22292657,-0.03107087
1.26529198,-0.02122325,1.22307934,-0.03094982
1.27207688,-0.01597473,1.22963789,-0.02575347
1.27986421,-0.00995078,1.23716541,-0.01978938
1.28660588,-0.00473571,1.22941150,-0.02593283
1.28316066,-0.00740079,1.23270357,-0.02332452
1.27694021,-0.01221266,1.23867941,-0.01858983
1.26633903,-0.02041329,1.24896295,-0.01044215
1.26979420,-0.01774051,1.25361967,-0.00675261
1.28456729,-0.00631268,1.26820458,0.00000000
1.29560546,0.00000000,1.27910215,0.00000000
1.28580456,-0.00756473,1.26942609,-0.00756473
1.28318669,-0.00958531,1.26684157,-0.00958531
1.29086305,-0.00366039,1.27442014,-0.00366039
1.28580727,-0.00756264,1.27813710,-0.00075447
1.29134902,-0.00328529,1.27262840,-0.00506117
1.29802730,0.00000000,1.28048249,0.00000000
1.29931635,0.00000000,1.27793037,-0.00199309
1.30346345,0.00000000,1.27385153,-0.00517848
1.30986991,0.00000000,1.26759062,-0.01006798
1.30760640,-0.00172804,1.26978106,-0.00835734
1.29041471,-0.01485277,1.25435646,-0.02040327
1.29037317,-0.01488448,1.25314248,-0.02135133
1.28420427,-0.01959404,1.25913340,-0.01667269
1.28494590,-0.01902785,1.26111969,-0.01512148
1.28374230,-0.01994672,1.25993841,-0.01604401
1.28176076,-0.02145949,1.26062327,-0.01550917
1.28240363,-0.02096870,1.25999101,-0.01600294
1.28140974,-0.02172748,1.25775449,-0.01774955
1.28074232,-0.02223701,1.25709940,-0.01826116
1.28249101,-0.02090200,1.25881580,-0.01692072
1.28261184,-0.02080975,1.25893441,-0.01682809
1.28175298,-0.02146543,1.25809140,-0.01748645
1.27066549,-0.02993001,1.26771612,-0.00996996
1.27496091,-0.02665073,1.26343067,-0.01331671
1.26716880,-0.03259950,1.27115231,-0.00728645
1.26501663,-0.03424254,1.27331124,-0.00560042
1.26881996,-0.03133895,1.26948298,-0.00859013
1.27370482,-0.02760968,1.26459556,-0.01240698
1.27780798,-0.02447718,1.26052175,-0.01558845
1.28059466,-0.02234974,1.25777277,-0.01773528
1.27815257,-0.02421411,1.26017134,-0.01586211
1.28242663,-0.02095114,1.25595740,-0.01915300
1.27551517,-0.02622759,1.26272621,-0.01386687
1.27232393,-0.02866389,1.26588545,-0.01139964
1.27804605,-0.02429543,1.26019229,-0.01584574
1.27211595,-0.02882268,1.26603955,-0.01127929
1.27260976,-0.02844568,1.26301602,-0.01364053
1.27773912,-0.02452976,1.25539930,-0.01958885
1.28043990,-0.02246788,1.25930827,-0.01653613
1.28448373,-0.01938068,1.26328536,-0.01343019
1.28463743,-0.01926335,1.26343652,-0.01331215
1.31580563,0.00000000,1.29409033,0.00000000
1.30971577,-0.00462823,1.28810098,-0.00462823
1.31028519,-0.00419548,1.28625286,-0.00605636
1.31080785,-0.00379826,1.28805219,-0.00466594
1.31197428,-0.00291179,1.28561796,-0.00654697
1.30739227,-0.00639407,1.29010792,-0.00307738
1.28535955,-0.02313873,1.31184935,0.00000000
1.25499775,-0.04621342,1.34283688,0.00000000
1.26313756,-0.04002724,1.35288925,0.00000000
1.25492115,-0.04627163,1.36033658,0.00000000
1.25681254,-0.04483420,1.36374718,0.00000000
1.24696765,-0.05231622,1.35306464,-0.00783322
1.25976814,-0.04258797,1.36695425,0.00000000
1.25355419,-0.04731051,1.36021160,-0.00493261
1.25618339,-0.04531235,1.36306449,-0.00284556
1.25573075,-0.04565635,1.36257334,-0.00320487
1.25656253,-0.04502420,1.36347589,-0.00254460
1.24896685,-0.05079684,1.35523395,-0.00857402
1.24291738,-0.05539439,1.36044291,-0.00476339
1.24430285,-0.05434145,1.35892644,-0.00587277
1.24077269,-0.05702433,1.36278178,-0.00305238
1.23818959,-0.05898746,1.36561888,-0.00097689
1.23742372,-0.05956952,1.36646358,-0.00035895
1.23114910,-0.06433817,1.37339252,0.00000000
1.22815621,-0.06661274,1.37673121,0.00000000
1.22686061,-0.06759738,1.37818354,0.00000000
1.20984039,-0.08053259,1.39730306,0.00000000
1.19010577,-0.09553072,1.42009552,0.00000000
1.20247268,-0.08613198,1.40533869,-0.01039144
1.21830698,-0.07409806,1.38683302,-0.02342272
1.21768538,-0.07457047,1.38754061,-0.02292445
1.21868307,-0.07381224,1.38640376,-0.02372500
1.24637796,-0.05276438,1.35489737,-0.04591110
1.25031379,-0.04977318,1.35061885,-0.04892394
1.24673369,-0.05249403,1.35448616,-0.04620067
1.25444940,-0.04663016,1.34610360,-0.05210349
1.25418387,-0.04683196,1.34638853,-0.05190284
1.23980860,-0.05775703,1.36182064,-0.04103589
1.24271174,-0.05555068,1.35863180,-0.04328140
1.23526004,-0.06121390,1.36677859,-0.03754461
1.22921494,-0.06580811,1.37346730,-0.03283456
1.23136231,-0.06417613,1.37724014,-0.03017782
1.23275112,-0.06312065,1.37879348,-0.02908399
1.22653471,-0.06784506,1.37184062,-0.03398004
1.22133730,-0.07179504,1.36602748,-0.03807352
1.22322736,-0.07035861,1.36814146,-0.03658491
1.22528341,-0.06879604,1.36447369,-0.03916767
1.23323436,-0.06275339,1.37469233,-0.03197193
1.23119567,-0.06430277,1.37559017,-0.03133969
1.22894254,-0.06601514,1.37810755,-0.02956700
1.21820820,-0.07417314,1.39014480,-0.02109064
1.22719448,-0.06734364,1.37989020,-0.02831171
1.22892503,-0.06602844,1.37794432,-0.02968195
1.24252025,-0.05569620,1.36270055,-0.04041628
1.24764901,-0.05179839,1.35707572,-0.04437716
1.25223484,-0.04831320,1.36342084,-0.03990907
