bench_equity,bench_drawdown,patchtst_equity,patchtst_drawdown
1.1046473,-0.03726822,1.2785547369873007,-0.0664291910257957
1.1042839,-0.0375849,1.2781342575623982,-0.06673621528178353
1.0992075,-0.042009175,1.2722585818774255,-0.07102649644363301
1.1031342,-0.038586974,1.2768033522917097,-0.06770801122784709
1.0930068,-0.04741323,1.2873454541833973,-0.060010414631786024
1.1016409,-0.039888322,1.277255920973761,-0.06737755614571694
1.1074917,-0.034789205,1.2705083573896985,-0.07230446948899816
1.1093599,-0.033161104,1.271379449618037,-0.07166841828776649
1.1066047,-0.035562277,1.2732710142514088,-0.0702872419689764
1.1059963,-0.03609258,1.2712991479184195,-0.07172705271342328
1.0917828,-0.048479974,1.254961282205738,-0.08365658069455606
1.0822312,-0.056804538,1.264771908370724,-0.07649309059090137
1.0811464,-0.057749987,1.2660410764467407,-0.07556637370254737
1.0758526,-0.062363625,1.272270633016546,-0.07101769698329519
1.0779456,-0.060539544,1.273471598994152,-0.07014077967437649
1.0784333,-0.060114503,1.2716234183761936,-0.07149027799832275
1.0594637,-0.07664698,1.248006976518335,-0.08873445229334342
1.0591763,-0.0768975,1.2476683489690117,-0.0889817102213909
1.0648968,-0.07191193,1.2397254608983663,-0.0947814215885997
1.065576,-0.07132,1.2392760256812259,-0.09510958868783237
1.0637494,-0.07291186,1.2371518629434486,-0.09666060271025301
1.0549018,-0.08062279,1.2268620088884692,-0.10417401382706548
1.0491872,-0.0856033,1.2202157507408966,-0.1090269563065569
1.05215,-0.083021104,1.2236615760060447,-0.10651089517338386
1.0620394,-0.07440227,1.2351630637051683,-0.09811277746668434
1.062935,-0.07362169,1.2362046503561404,-0.09735223521985326
1.0644511,-0.072300375,1.2379679544543243,-0.09606471174839992
1.0653569,-0.07151097,1.2390212834136054,-0.09529559554227707
1.0686675,-0.06862563,1.2428715662332814,-0.09248420894868126
1.0676916,-0.06947619,1.241736584689533,-0.09331294596502904
1.071074,-0.06652832,1.2456703684342534,-0.09044058894608609
1.071844,-0.06585723,1.246565828571487,-0.08978674486687899
1.0703492,-0.06716001,1.2448275313156052,-0.09105600892610499
1.0734615,-0.06444752,1.2484470994243668,-0.08841308482619814
1.0730093,-0.06484169,1.2479210872918818,-0.08879716660060177
1.0756027,-0.06258148,1.2509372310745852,-0.08659484885092461
1.0681407,-0.069084704,1.2422590091159393,-0.09293148384981498
1.0654563,-0.071424305,1.2391369670799537,-0.09521112603084081
1.0734715,-0.06443876,1.2484587331248014,-0.08840459016983981
1.055774,-0.079862714,1.2681174229478973,-0.07405027397938413
1.0621545,-0.0743019,1.26049955637515,-0.079612662239534
1.0669526,-0.070120215,1.2649279402240172,-0.07637915977566856
1.0611585,-0.07516992,1.270563421510046,-0.07226426295431398
1.0678703,-0.06932044,1.2625777348603993,-0.07809522484437137
1.0678588,-0.069330454,1.2613023168442477,-0.07902650529304778
1.0789573,-0.059657753,1.2744112743671436,-0.06945465066264256
1.0775187,-0.060911596,1.2727121162906552,-0.07069533620715052
1.0750159,-0.06309283,1.2697559257874094,-0.07285387747234506
1.0708442,-0.06672859,1.2648285000673567,-0.07645176865568948
1.0731062,-0.06475723,1.2675002462306488,-0.07450092200448111
1.0892937,-0.050649285,1.2866200807117192,-0.06054006540008916
1.0908855,-0.049261987,1.2885003292043629,-0.05916715186297605
