CNN-Transformer_equity,CNN-Transformer_drawdown,XGBoost_equity,XGBoost_drawdown,Transformer_equity,Transformer_drawdown,PatchTST_equity,PatchTST_drawdown,LSTM-Transformer_equity,LSTM-Transformer_drawdown,LSTM_equity,LSTM_drawdown,TimeMixer_equity,TimeMixer_drawdown,ModernTCN_equity,ModernTCN_drawdown,TCN_equity,TCN_drawdown,DLinear_equity,DLinear_drawdown
1.06951031,-0.03278622,1.07582041,-0.00355797,1.02928511,-0.01506295,1.02283678,-0.03054682,1.06490849,-0.02395668,1.02394107,-0.00558611,1.06949076,-0.00355797,0.94398729,-0.07355928,1.02414029,-0.00355797,0.98317476,-0.03525345
1.07267103,-0.02992782,1.07264105,-0.00650274,1.03232695,-0.01215218,1.01981400,-0.03341184,1.06805561,-0.02107219,1.02091503,-0.00852490,1.06633011,-0.00650274,0.94677705,-0.07082138,1.02111365,-0.00650274,0.98509715,-0.03336709
1.07148357,-0.03100171,1.07382848,-0.00540293,1.03118414,-0.01324574,1.02094295,-0.03234181,1.06687326,-0.02215588,1.02204519,-0.00742732,1.06751055,-0.00540293,0.94572896,-0.07184999,1.02224404,-0.00540293,0.98520257,-0.03326364
1.05809937,-0.04310573,1.08724196,0.00000000,1.01830334,-0.02557155,1.03369582,-0.02025453,1.05354665,-0.03437039,1.00825650,-0.02081839,1.08084511,0.00000000,0.93391560,-0.08344377,1.00845267,-0.01882131,0.97191093,-0.04630615
1.06179640,-0.03976232,1.08344312,-0.00349402,1.02186132,-0.02216688,1.03627388,-0.01781102,1.05722777,-0.03099646,1.00372538,-0.02521885,1.07706862,-0.00349402,0.93717872,-0.08024130,1.01197622,-0.01539305,0.96754314,-0.05059207
1.07044593,-0.03194010,1.07461724,-0.01161169,1.03018553,-0.01420132,1.04471551,-0.00980998,1.06584008,-0.02310283,0.99554890,-0.03315955,1.06829467,-0.01161169,0.92860716,-0.08865353,1.02021992,-0.00737231,0.97445734,-0.04380748
1.06900057,-0.03324721,1.07606823,-0.01027713,1.02879454,-0.01553238,1.04330489,-0.01114697,1.06440095,-0.02442188,0.99689312,-0.03185409,1.06973713,-0.01027713,0.92642471,-0.09079541,1.01884238,-0.00871259,0.97314159,-0.04509856
1.07101365,-0.03142668,1.07404185,-0.01214091,1.02582839,-0.01837074,1.04029690,-0.01399797,1.06640536,-0.02258473,0.99501584,-0.03367723,1.06772267,-0.01214091,0.92375371,-0.09341677,1.02076099,-0.00684587,0.97033589,-0.04785167
1.07342021,-0.02925030,1.07538118,-0.01090905,1.02710759,-0.01714665,1.04159415,-0.01276842,1.06880157,-0.02038848,0.99278004,-0.03584856,1.06532349,-0.01436063,0.92167803,-0.09545386,1.02305464,-0.00461425,0.96815554,-0.04999115
1.07123738,-0.03122435,1.07319436,-0.01292040,1.02501894,-0.01914531,1.03947604,-0.01477599,1.06662813,-0.02238055,0.99479889,-0.03388793,1.06748987,-0.01235630,0.92355229,-0.09361444,1.02411200,-0.00358549,0.96521861,-0.05287303
1.07515875,-0.02767805,1.07712289,-0.00930710,1.02877112,-0.01555480,1.04328114,-0.01116948,1.07053262,-0.01880188,0.99115733,-0.03742447,1.06358221,-0.01597167,0.92600950,-0.09120291,1.02036314,-0.00723296,0.96875189,-0.04940598
1.07738138,-0.02566800,1.07934959,-0.00725908,1.03089786,-0.01351969,1.04543788,-0.00912531,1.07274570,-0.01677348,0.98910835,-0.03941437,1.06471734,-0.01492145,0.92792380,-0.08932419,1.02145214,-0.00617341,0.96578047,-0.05232171
1.07378275,-0.02892244,1.07574438,-0.01057500,1.03331034,-0.01121116,1.04194594,-0.01243500,1.06916254,-0.02005763,0.99241214,-0.03620585,1.06116100,-0.01821178,0.92482438,-0.09236600,1.01804032,-0.00949296,0.96158882,-0.05643479
